1709801032958912256,0.84687,-0.04021,0.08527,0.99515,0.04018,-0.05038,0.07428,
1709801033025594880,0.86929,-0.01028,0.09137,0.99457,0.03354,-0.05179,0.08378,
1709801033158958848,0.91546,0.02247,0.09725,0.99356,0.03542,-0.05093,0.09479,
1709801033559053056,1.11922,0.05017,0.11958,0.99432,0.04083,-0.05130,0.08387,
1709801033692417536,1.19029,0.05207,0.12253,0.99534,0.04223,-0.05285,0.06876,
1709801033825781760,1.22335,0.03499,0.12263,0.99636,0.04371,-0.04975,0.05375,
1709801033959142144,1.26780,0.02683,0.12015,0.99705,0.04278,-0.04531,0.04476,
1709801034359225344,1.42995,0.00563,0.12485,0.99702,0.03527,-0.03728,0.05753,
1709801034425904640,1.45540,0.01090,0.12624,0.99640,0.03514,-0.03792,0.06719,
1709801034492585216,1.48272,0.01905,0.12794,0.99570,0.03553,-0.03761,0.07685,
1709801034559265280,1.50731,0.02765,0.12933,0.99487,0.03548,-0.03891,0.08639,
1709801034625945856,1.53997,0.03477,0.13035,0.99394,0.03483,-0.04084,0.09596,
1709801034692625920,1.55467,0.04631,0.13329,0.99288,0.03387,-0.04167,0.10629,
1709801034759306240,1.57589,0.05517,0.13600,0.99164,0.03449,-0.04256,0.11681,
1709801034826019584,1.60409,0.06328,0.13827,0.99052,0.03268,-0.04148,0.12684,
1709801034892835584,1.63239,0.07310,0.14101,0.98927,0.03057,-0.04060,0.13700,
1709801034959654400,1.66853,0.08154,0.14301,0.98791,0.02976,-0.03841,0.14722,
1709801035026475008,1.69999,0.09231,0.14470,0.98653,0.02648,-0.03709,0.15710,
1709801035093296640,1.73154,0.10206,0.14602,0.98495,0.02501,-0.03639,0.16712,
1709801035160121088,1.76142,0.11341,0.14784,0.98321,0.02319,-0.03558,0.17745,
1709801035226946304,1.79134,0.12335,0.14780,0.98142,0.02286,-0.03229,0.18776,
1709801035293772544,1.82038,0.13386,0.14833,0.97970,0.02251,-0.02986,0.19694,
1709801035360601344,1.84770,0.14584,0.14830,0.97799,0.02108,-0.02791,0.20568,
